LAMBDA 8 11 y1^3*B+y1*y2^2*B+y1^3+y1^2*y2
LAMBDA 8 12 y1*y2^2
LAMBDA 8 13 y1*y2^2*B+y2^3
NONEX 9 y1^4*y2^6*B^2+y1*y2^9*B^2+y1^4*y2^6*B+y1^2*y2^8*B+y1^2*y2^8+y1*y2^9
LAMBDA 9 0 0
LAMBDA 9 1 y1^2*y2^2
LAMBDA 9 2 y1^2*y2+y1*y2^2
LAMBDA 9 3 y1^2*y2*B
LAMBDA 9 4 y1^2*y2*B+y1^2*y2+y1*y2^2
LAMBDA 9 5 y2^3
LAMBDA 9 6 y2^3
LAMBDA 9 7 0
LAMBDA 9 8 y2^3*B+y2^3
LAMBDA 9 9 y2^3*B
LAMBDA 9 10 y2^3*B
LAMBDA 9 11 0
LAMBDA 9 12 0
LAMBDA 9 13 0
