n=1 k=13 degree 22: 1 rows, rank 4, open orders 9
n=1 k=13 degree 21: 1 rows, rank 5, open orders 8
n=1 k=13 degree 20: 1 rows, rank 6, open orders 7
n=1 k=13 degree 19: 1 rows, rank 7, open orders 6
n=1 k=13 degree 18: 1 rows, rank 8, open orders 5
n=1 k=13 degree 17: 1 rows, rank 9, open orders 4
n=1 k=13 degree 16: 1 rows, rank 10, open orders 3
n=1 k=13 degree 15: 1 rows, rank 11, open orders 2
n=1 k=13 degree 14: 1 rows, rank 12, open orders 1
n=1 k=13 degree 13: 1 rows, rank 13, open orders 0
series n=1 k=13 (below, 0.0s): delta [13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
n=1 k=14 degree 27: 1 rows, rank 1, open orders 13
n=1 k=14 degree 26: 1 rows, rank 2, open orders 12
n=1 k=14 degree 25: 1 rows, rank 3, open orders 11
n=1 k=14 degree 24: 1 rows, rank 4, open orders 10
n=1 k=14 degree 23: 1 rows, rank 5, open orders 9
n=1 k=14 degree 22: 1 rows, rank 6, open orders 8
n=1 k=14 degree 21: 1 rows, rank 7, open orders 7
n=1 k=14 degree 20: 1 rows, rank 8, open orders 6
n=1 k=14 degree 19: 1 rows, rank 9, open orders 5
n=1 k=14 degree 18: 1 rows, rank 10, open orders 4
n=1 k=14 degree 17: 1 rows, rank 11, open orders 3
n=1 k=14 degree 16: 1 rows, rank 12, open orders 2
n=1 k=14 degree 15: 1 rows, rank 13, open orders 1
n=1 k=14 degree 14: 1 rows, rank 14, open orders 0
series n=1 k=14 (below, 0.0s): delta [14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
n=1 k=15 degree 29: 1 rows, rank 1, open orders 14
n=1 k=15 degree 28: 1 rows, rank 2, open orders 13
n=1 k=15 degree 27: 1 rows, rank 3, open orders 12
n=1 k=15 degree 26: 1 rows, rank 4, open orders 11
n=1 k=15 degree 25: 1 rows, rank 5, open orders 10
n=1 k=15 degree 24: 1 rows, rank 6, open orders 9
n=1 k=15 degree 23: 1 rows, rank 7, open orders 8
n=1 k=15 degree 22: 1 rows, rank 8, open orders 7
n=1 k=15 degree 21: 1 rows, rank 9, open orders 6
n=1 k=15 degree 20: 1 rows, rank 10, open orders 5
n=1 k=15 degree 19: 1 rows, rank 11, open orders 4
n=1 k=15 degree 18: 1 rows, rank 12, open orders 3
n=1 k=15 degree 17: 1 rows, rank 13, open orders 2
n=1 k=15 degree 16: 1 rows, rank 14, open orders 1
n=1 k=15 degree 15: 1 rows, rank 15, open orders 0
series n=1 k=15 (below, 0.0s): delta [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
n=1 k=16 degree 31: 1 rows, rank 1, open orders 15
n=1 k=16 degree 30: 1 rows, rank 2, open orders 14
n=1 k=16 degree 29: 1 rows, rank 3, open orders 13
n=1 k=16 degree 28: 1 rows, rank 4, open orders 12
n=1 k=16 degree 27: 1 rows, rank 5, open orders 11
n=1 k=16 degree 26: 1 rows, rank 6, open orders 10
n=1 k=16 degree 25: 1 rows, rank 7, open orders 9
n=1 k=16 degree 24: 1 rows, rank 8, open orders 8
n=1 k=16 degree 23: 1 rows, rank 9, open orders 7
n=1 k=16 degree 22: 1 rows, rank 10, open orders 6
n=1 k=16 degree 21: 1 rows, rank 11, open orders 5
n=1 k=16 degree 20: 1 rows, rank 12, open orders 4
n=1 k=16 degree 19: 1 rows, rank 13, open orders 3
n=1 k=16 degree 18: 1 rows, rank 14, open orders 2
n=1 k=16 degree 17: 1 rows, rank 15, open orders 1
n=1 k=16 degree 16: 1 rows, rank 16, open orders 0
series n=1 k=16 (below, 0.0s): delta [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
n=2 k=1 degree 2: 1 rows, rank 1, open orders 0
series n=2 k=1 (base, 0.0s): delta [2] formula-mismatch orders []
n=2 k=2 degree 4: 2 rows, rank 2, open orders 1
n=2 k=2 degree 3: 4 rows, rank 3, open orders 0
