# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_nu_squarefree 1000003 3 905036 993870 890299 96034 88995 378597 @research/results/bmd-r109-route-review/mono-n3.txt
# run 70e0a35f54, session bmd-r109; full output
n=3 nu=3,1,1,1,3,-1,0,-1 N=15: deg 90 (homogeneous 90) a1:12 a2:16 a3:18 a1-a2:10 a1-a3:5 a2-a3:6 | rest 23, deg gcd(R,R')=0, factors: 19^1 4^1 | SQUAREFREE
n=3 nu=3,3,2,2,1,-1,1,-1 N=18: deg 133 (homogeneous 133) a1:25 a2:28 a3:14 a1-a2:21 a1-a3:8 a2-a3:10 | rest 27, deg gcd(R,R')=0, factors: 9^1 1^1 3^1 7^1 7^1 | SQUAREFREE
n=3 nu=2,2,1,-1,0,-1,-1,-1 N=9: deg 29 (homogeneous 29) a1:9 a2:6 a3:3 a1-a2:4 a1-a3:1 a2-a3:1 | rest 5, deg gcd(R,R')=0, factors: 2^1 3^1 | SQUAREFREE
n=3 nu=1,1,0,0,1,-1,-1,-1 N=8: deg 25 (homogeneous 25) a1:5 a2:4 a3:4 a1-a2:3 a1-a3:4 a2-a3:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 2^1 | SQUAREFREE
n=3 nu=3,3,2,1,1,-1,1,-1 N=17: deg 118 (homogeneous 118) a1:22 a2:24 a3:14 a1-a2:15 a1-a3:8 a2-a3:10 | rest 25, deg gcd(R,R')=0, factors: 19^1 1^1 1^1 4^1 | SQUAREFREE
n=3 nu=3,2,1,0,2,2,1,0 N=19: deg 154 (homogeneous 154) a1:25 a2:20 a3:26 a1-a2:12 a1-a3:24 a2-a3:13 | rest 34, deg gcd(R,R')=0, factors: 14^1 1^1 3^1 5^1 5^1 6^1 | SQUAREFREE
n=3 nu=3,2,1,0,1,-1,0,-1 N=13: deg 67 (homogeneous 67) a1:14 a2:13 a3:10 a1-a2:6 a1-a3:5 a2-a3:6 | rest 13, deg gcd(R,R')=0, factors: 7^1 1^1 2^1 3^1 | SQUAREFREE
n=3 nu=3,2,1,0,2,1,-1,-1 N=15: deg 91 (homogeneous 91) a1:20 a2:11 a3:18 a1-a2:6 a1-a3:15 a2-a3:5 | rest 16, deg gcd(R,R')=0, factors: 8^1 2^1 3^1 3^1 | SQUAREFREE
n=3 nu=1,-1,1,-1,-1,-1,-1,-1 N=4: deg 4 (homogeneous 4) a1:0 a2:4 a3:0 a1-a2:0 a1-a3:0 a2-a3:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=3,3,1,1,3,3,1,-1 N=22: deg 204 (homogeneous 204) a1:36 a2:24 a3:36 a1-a2:14 a1-a3:32 a2-a3:14 | rest 48, deg gcd(R,R')=0, factors: 48^1 | SQUAREFREE
n=3 nu=3,2,1,-1,1,-1,0,-1 N=12: deg 55 (homogeneous 55) a1:12 a2:10 a3:10 a1-a2:4 a1-a3:4 a2-a3:6 | rest 9, deg gcd(R,R')=0, factors: 1^1 2^1 2^1 4^1 | SQUAREFREE
n=3 nu=3,1,1,1,2,-1,0,-1 N=14: deg 79 (homogeneous 79) a1:12 a2:15 a3:14 a1-a2:10 a1-a3:5 a2-a3:6 | rest 17, deg gcd(R,R')=0, factors: 9^1 8^1 | SQUAREFREE
n=3 nu=2,1,0,0,1,1,-1,-1 N=11: deg 49 (homogeneous 49) a1:11 a2:5 a3:10 a1-a2:3 a1-a3:10 a2-a3:2 | rest 8, deg gcd(R,R')=0, factors: 3^1 5^1 | SQUAREFREE
n=3 nu=1,0,-1,-1,-1,-1,-1,-1 N=3: deg 2 (homogeneous 2) a1:2 a2:0 a3:0 a1-a2:0 a1-a3:0 a2-a3:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=2,0,2,0,2,-1,1,-1 N=13: deg 68 (homogeneous 68) a1:6 a2:16 a3:15 a1-a2:3 a1-a3:2 a2-a3:15 | rest 11, deg gcd(R,R')=0, factors: 5^1 6^1 | SQUAREFREE
n=3 nu=2,2,2,0,2,2,1,-1 N=18: deg 137 (homogeneous 137) a1:21 a2:18 a3:24 a1-a2:15 a1-a3:16 a2-a3:16 | rest 27, deg gcd(R,R')=0, factors: 23^1 1^1 3^1 | SQUAREFREE
