{'h': 12, 'kind': 'randomW', 'trial': 0, 'beta': 312, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 12, 'kind': 'randomW', 'trial': 1, 'beta': 312, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'square', 'trial': 0, 'beta': 416, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'square', 'trial': 1, 'beta': 416, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'generic', 'trial': 0, 'beta': 432, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'generic', 'trial': 1, 'beta': 432, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'randomW', 'trial': 0, 'beta': 416, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 16, 'kind': 'randomW', 'trial': 1, 'beta': 416, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'square', 'trial': 0, 'beta': 520, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'square', 'trial': 1, 'beta': 520, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'generic', 'trial': 0, 'beta': 540, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'generic', 'trial': 1, 'beta': 540, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'randomW', 'trial': 0, 'beta': 520, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 20, 'kind': 'randomW', 'trial': 1, 'beta': 520, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'square', 'trial': 0, 'beta': 624, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'square', 'trial': 1, 'beta': 624, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'generic', 'trial': 0, 'beta': 648, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'generic', 'trial': 1, 'beta': 648, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'randomW', 'trial': 0, 'beta': 624, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 24, 'kind': 'randomW', 'trial': 1, 'beta': 624, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'square', 'trial': 0, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'square', 'trial': 1, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'generic', 'trial': 0, 'beta': 756, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'generic', 'trial': 1, 'beta': 756, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'randomW', 'trial': 0, 'beta': 727, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'randomW', 'trial': 1, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
