n=3 d=2: N=8, matrix 7x7
CONTENT -4
FACTOR deg=0 terms=1 mult=1 content=-4 -4
FACTOR deg=1 terms=3 mult=1 content=-1 -y1+y2-y3
FACTOR deg=1 terms=3 mult=1 content=1 y1+y2-y3
FACTOR deg=1 terms=3 mult=1 content=-1 -y1+y2+y3
FACTOR deg=1 terms=1 mult=4 content=1 y1
FACTOR deg=1 terms=1 mult=4 content=1 y2
FACTOR deg=1 terms=2 mult=4 content=-1 -y1+y2
FACTOR deg=1 terms=2 mult=4 content=1 y1-y3
FACTOR deg=1 terms=2 mult=4 content=1 y2-y3
FACTOR deg=1 terms=1 mult=4 content=1 y3
