# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_nu_squarefree 1000003 3 905036 993870 890299 96034 88995 378597 @research/results/bmd-r108-degree-vectors/nu-n3.txt
# run 49cd10f843, session bmd-r108; full output
n=3 nu=5,3,5,2,5,2,0,-1 N=29: deg 349 (homogeneous 349) a1:60 a2:54 a3:54 a1-a2:29 a1-a3:29 a2-a3:47 | rest 76, deg gcd(R,R')=0, factors: 41^1 1^1 3^1 4^1 6^1 21^1 | SQUAREFREE
n=3 nu=3,4,0,-1,4,3,0,3 N=24: deg 238 (homogeneous 238) a1:44 a2:25 a3:41 a1-a2:22 a1-a3:37 a2-a3:23 | rest 46, deg gcd(R,R')=0, factors: 14^1 2^1 2^1 4^1 5^1 8^1 11^1 | SQUAREFREE
n=3 nu=0,1,1,-1,-1,5,5,4 N=22: deg 189 (homogeneous 189) a1:32 a2:32 a3:24 a1-a2:40 a1-a3:2 a2-a3:2 | rest 57, deg gcd(R,R')=0, factors: 39^1 3^1 4^1 11^1 | SQUAREFREE
n=3 nu=1,0,2,4,-1,2,4,2 N=22: deg 201 (homogeneous 201) a1:32 a2:20 a3:33 a1-a2:12 a1-a3:33 a2-a3:11 | rest 60, deg gcd(R,R')=0, factors: 25^1 1^1 2^1 3^1 3^1 7^1 19^1 | SQUAREFREE
n=3 nu=1,5,1,4,3,2,-1,1 N=24: deg 239 (homogeneous 239) a1:34 a2:40 a3:36 a1-a2:12 a1-a3:20 a2-a3:19 | rest 78, deg gcd(R,R')=0, factors: 52^1 1^1 1^1 7^1 17^1 | SQUAREFREE
n=3 nu=3,2,-1,2,2,0,0,0 N=16: deg 105 (homogeneous 105) a1:16 a2:13 a3:18 a1-a2:15 a1-a3:12 a2-a3:5 | rest 26, deg gcd(R,R')=0, factors: 10^1 4^1 5^1 7^1 | SQUAREFREE
n=3 nu=0,3,4,3,0,2,0,-1 N=19: deg 146 (homogeneous 146) a1:27 a2:22 a3:18 a1-a2:17 a1-a3:2 a2-a3:10 | rest 50, deg gcd(R,R')=0, factors: 44^1 1^1 1^1 2^1 2^1 | SQUAREFREE
n=3 nu=5,5,1,-1,1,5,4,2 N=30: deg 375 (homogeneous 375) a1:63 a2:40 a3:58 a1-a2:31 a1-a3:36 a2-a3:46 | rest 101, deg gcd(R,R')=0, factors: 98^1 3^1 | SQUAREFREE
n=3 nu=-1,2,-1,3,0,0,4,3 N=18: deg 128 (homogeneous 128) a1:21 a2:21 a3:19 a1-a2:1 a1-a3:17 a2-a3:7 | rest 42, deg gcd(R,R')=0, factors: 19^1 1^1 5^1 8^1 9^1 | SQUAREFREE
n=3 nu=-1,-1,3,4,5,3,5,-1 N=25: deg 248 (homogeneous 248) a1:44 a2:36 a3:24 a1-a2:16 a1-a3:25 a2-a3:32 | rest 71, deg gcd(R,R')=0, factors: 35^1 4^1 15^1 17^1 | SQUAREFREE
n=3 nu=5,-1,5,1,5,2,2,2 N=29: deg 351 (homogeneous 351) a1:39 a2:63 a3:60 a1-a2:27 a1-a3:28 a2-a3:52 | rest 82, deg gcd(R,R')=0, factors: 44^1 1^1 1^1 12^1 24^1 | SQUAREFREE
