n=2 nu=2,1,2,0 N=9: deg 29 (homogeneous 29) a1:9 a2:11 a1-a2:6 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=2,1,2,1 N=10: deg 37 (homogeneous 37) a1:12 a2:13 a1-a2:10 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=2,2,-1,-1 N=6: deg 9 (homogeneous 9) a1:9 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,2,0,-1 N=7: deg 15 (homogeneous 15) a1:9 a2:3 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=2,2,0,0 N=8: deg 22 (homogeneous 22) a1:10 a2:6 a1-a2:3 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=2,2,1,-1 N=8: deg 21 (homogeneous 21) a1:9 a2:6 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=2,2,1,0 N=9: deg 29 (homogeneous 29) a1:11 a2:9 a1-a2:6 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=2,2,1,1 N=10: deg 37 (homogeneous 37) a1:13 a2:12 a1-a2:10 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=2,2,2,-1 N=9: deg 27 (homogeneous 27) a1:9 a2:9 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,2,2,0 N=10: deg 36 (homogeneous 36) a1:12 a2:12 a1-a2:11 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=2,2,2,1 N=11: deg 45 (homogeneous 45) a1:15 a2:15 a1-a2:15 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,2,2,2 N=12: deg 54 (homogeneous 54) a1:18 a2:18 a1-a2:15 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=3,-1,-1,-1 N=4: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,-1,0,-1 N=5: deg 4 (homogeneous 4) a1:0 a2:4 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,-1,1,-1 N=6: deg 8 (homogeneous 8) a1:0 a2:8 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,-1,2,-1 N=7: deg 12 (homogeneous 12) a1:0 a2:12 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
