n=2 nu=-1,0,-1,4 N=6: deg 5 (homogeneous 5) a1:0 a2:5 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,-1 N=2: deg 1 (homogeneous 1) a1:0 a2:0 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,0 N=3: deg 3 (homogeneous 3) a1:1 a2:1 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,1 N=4: deg 5 (homogeneous 5) a1:2 a2:2 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,2 N=5: deg 7 (homogeneous 7) a1:3 a2:3 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,3 N=6: deg 9 (homogeneous 9) a1:4 a2:4 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,0,4 N=7: deg 11 (homogeneous 11) a1:5 a2:5 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,1,-1 N=3: deg 2 (homogeneous 2) a1:0 a2:0 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,1,0 N=4: deg 5 (homogeneous 5) a1:2 a2:1 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,1,1 N=5: deg 8 (homogeneous 8) a1:4 a2:2 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,1,2 N=6: deg 11 (homogeneous 11) a1:6 a2:3 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,1,3 N=7: deg 14 (homogeneous 14) a1:8 a2:4 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,1,4 N=8: deg 17 (homogeneous 17) a1:10 a2:5 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,0,2,-1 N=4: deg 3 (homogeneous 3) a1:0 a2:0 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,0,2,0 N=5: deg 7 (homogeneous 7) a1:3 a2:1 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,0,2,1 N=6: deg 11 (homogeneous 11) a1:6 a2:2 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,0,2,2 N=7: deg 15 (homogeneous 15) a1:9 a2:3 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,0,2,3 N=8: deg 19 (homogeneous 19) a1:12 a2:4 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,0,2,4 N=9: deg 23 (homogeneous 23) a1:15 a2:5 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,0,3,-1 N=5: deg 4 (homogeneous 4) a1:0 a2:0 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=-1,0,3,0 N=6: deg 9 (homogeneous 9) a1:4 a2:1 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=-1,0,3,1 N=7: deg 14 (homogeneous 14) a1:8 a2:2 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=-1,0,3,2 N=8: deg 19 (homogeneous 19) a1:12 a2:3 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=-1,0,3,3 N=9: deg 24 (homogeneous 24) a1:16 a2:4 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=-1,0,3,4 N=10: deg 29 (homogeneous 29) a1:20 a2:5 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=-1,0,4,-1 N=6: deg 5 (homogeneous 5) a1:0 a2:0 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,0,4,0 N=7: deg 11 (homogeneous 11) a1:5 a2:1 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,0,4,1 N=8: deg 17 (homogeneous 17) a1:10 a2:2 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=-1,0,4,2 N=9: deg 23 (homogeneous 23) a1:15 a2:3 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,0,4,3 N=10: deg 29 (homogeneous 29) a1:20 a2:4 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=-1,0,4,4 N=11: deg 35 (homogeneous 35) a1:25 a2:5 a1-a2:1 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=-1,1,-1,-1 N=2: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,-1,0 N=3: deg 2 (homogeneous 2) a1:0 a2:2 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,-1,1 N=4: deg 4 (homogeneous 4) a1:0 a2:4 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,-1,2 N=5: deg 6 (homogeneous 6) a1:0 a2:6 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,-1,3 N=6: deg 8 (homogeneous 8) a1:0 a2:8 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,-1,4 N=7: deg 10 (homogeneous 10) a1:0 a2:10 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,0,-1 N=3: deg 2 (homogeneous 2) a1:0 a2:0 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,0,0 N=4: deg 5 (homogeneous 5) a1:1 a2:2 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,0,1 N=5: deg 8 (homogeneous 8) a1:2 a2:4 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,0,2 N=6: deg 11 (homogeneous 11) a1:3 a2:6 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,0,3 N=7: deg 14 (homogeneous 14) a1:4 a2:8 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,0,4 N=8: deg 17 (homogeneous 17) a1:5 a2:10 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=-1,1,1,-1 N=4: deg 4 (homogeneous 4) a1:0 a2:0 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,1,0 N=5: deg 8 (homogeneous 8) a1:2 a2:2 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,1,1 N=6: deg 12 (homogeneous 12) a1:4 a2:4 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,1,2 N=7: deg 16 (homogeneous 16) a1:6 a2:6 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,1,3 N=8: deg 20 (homogeneous 20) a1:8 a2:8 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,1,4 N=9: deg 24 (homogeneous 24) a1:10 a2:10 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,1,2,-1 N=5: deg 6 (homogeneous 6) a1:0 a2:0 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,1,2,0 N=6: deg 11 (homogeneous 11) a1:3 a2:2 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,1,2,1 N=7: deg 16 (homogeneous 16) a1:6 a2:4 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,1,2,2 N=8: deg 21 (homogeneous 21) a1:9 a2:6 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,1,2,3 N=9: deg 26 (homogeneous 26) a1:12 a2:8 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,1,2,4 N=10: deg 31 (homogeneous 31) a1:15 a2:10 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,1,3,-1 N=6: deg 8 (homogeneous 8) a1:0 a2:0 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,1,3,0 N=7: deg 14 (homogeneous 14) a1:4 a2:2 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,1,3,1 N=8: deg 20 (homogeneous 20) a1:8 a2:4 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=-1,1,3,2 N=9: deg 26 (homogeneous 26) a1:12 a2:6 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=2 nu=-1,1,3,3 N=10: deg 32 (homogeneous 32) a1:16 a2:8 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 2^1 2^1 | SQUAREFREE
n=2 nu=-1,1,3,4 N=11: deg 38 (homogeneous 38) a1:20 a2:10 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=-1,1,4,-1 N=7: deg 10 (homogeneous 10) a1:0 a2:0 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 2^1 4^1 | SQUAREFREE
n=2 nu=-1,1,4,0 N=8: deg 17 (homogeneous 17) a1:5 a2:2 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 6^1 | SQUAREFREE
n=2 nu=-1,1,4,1 N=9: deg 24 (homogeneous 24) a1:10 a2:4 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 1^1 5^1 | SQUAREFREE
n=2 nu=-1,1,4,2 N=10: deg 31 (homogeneous 31) a1:15 a2:6 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 6^1 | SQUAREFREE
n=2 nu=-1,1,4,3 N=11: deg 38 (homogeneous 38) a1:20 a2:8 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 1^1 1^1 4^1 | SQUAREFREE
n=2 nu=-1,1,4,4 N=12: deg 45 (homogeneous 45) a1:25 a2:10 a1-a2:4 | rest 6, deg gcd(R,R')=0, factors: 1^1 1^1 4^1 | SQUAREFREE
n=2 nu=-1,2,-1,-1 N=3: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,-1,0 N=4: deg 3 (homogeneous 3) a1:0 a2:3 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,-1,1 N=5: deg 6 (homogeneous 6) a1:0 a2:6 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,-1,2 N=6: deg 9 (homogeneous 9) a1:0 a2:9 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,-1,3 N=7: deg 12 (homogeneous 12) a1:0 a2:12 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,-1,4 N=8: deg 15 (homogeneous 15) a1:0 a2:15 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
